ci_type,sim,meta,base,B,coverage,mean_length,mse_avg,mse_samp1
ACIC,E,S,LR-IW,100,0.0,0.415624327331058,5.763942425517317,5.761041232255247
Percentile,E,S,LR-IW,100,0.0,0.10441862819615776,5.763942425517317,5.761041232255247
Basic,E,S,LR-IW,100,0.0,0.10441862819615776,5.763942425517317,5.761041232255247
Normal,E,S,LR-IW,100,0.0,0.11351992618463845,5.763942425517317,5.761041232255247
ACIC,E,S,LR-IW,1000,0.0,0.3896972441229067,5.763942425517317,5.761041232255247
Percentile,E,S,LR-IW,1000,0.0,0.1041336778476043,5.763942425517317,5.761041232255247
Basic,E,S,LR-IW,1000,0.0,0.1041336778476043,5.763942425517317,5.761041232255247
Normal,E,S,LR-IW,1000,0.0,0.10641777900718984,5.763942425517317,5.761041232255247
ACIC,E,S,LR-IW,5000,0.0,0.38697561615317866,5.763942425517317,5.761041232255247
Percentile,E,S,LR-IW,5000,0.0,0.10550905627637168,5.763942425517317,5.761041232255247
Basic,E,S,LR-IW,5000,0.0,0.10550905627637168,5.763942425517317,5.761041232255247
Normal,E,S,LR-IW,5000,0.0,0.10568227069961188,5.763942425517317,5.761041232255247
ACIC,E,S,LR-IW,10000,0.0,0.3886800579180219,5.763942425517317,5.761041232255247
Percentile,E,S,LR-IW,10000,0.0,0.1050092924446724,5.763942425517317,5.761041232255247
Basic,E,S,LR-IW,10000,0.0,0.1050092924446724,5.763942425517317,5.761041232255247
Normal,E,S,LR-IW,10000,0.0,0.1061406118741086,5.763942425517317,5.761041232255247
ACIC,E,T,LR-IW,100,0.38952,1.5125670212401945,4.217436175240677,4.207282137525463
Percentile,E,T,LR-IW,100,0.09119,0.4065197783784935,4.217436175240677,4.207282137525463
Basic,E,T,LR-IW,100,0.09131,0.4065197783784935,4.217436175240677,4.207282137525463
Normal,E,T,LR-IW,100,0.0943,0.42138507425924376,4.217436175240677,4.207282137525463
ACIC,E,T,LR-IW,1000,0.39815,1.533976238099864,4.217436175240677,4.207282137525463
Percentile,E,T,LR-IW,1000,0.09592,0.4256636796782876,4.217436175240677,4.207282137525463
Basic,E,T,LR-IW,1000,0.09608,0.4256636796782876,4.217436175240677,4.207282137525463
Normal,E,T,LR-IW,1000,0.09623,0.4271284671185098,4.217436175240677,4.207282137525463
Studentized,E,T,LR-IW,1000,0.11579,0.5184941237224702,4.217436175240677,4.207282137525463
ACIC,E,T,LR-IW,5000,0.39926999999999996,1.5367090452027068,4.217436175240677,4.207282137525463
Percentile,E,T,LR-IW,5000,0.09635,0.42741028784576746,4.217436175240677,4.207282137525463
Basic,E,T,LR-IW,5000,0.09648999999999999,0.42741028784576746,4.217436175240677,4.207282137525463
Normal,E,T,LR-IW,5000,0.09657,0.4277742606724888,4.217436175240677,4.207282137525463
ACIC,E,T,LR-IW,10000,0.39948,1.5373941807434786,4.217436175240677,4.207282137525463
Percentile,E,T,LR-IW,10000,0.09646,0.4276779272229703,4.217436175240677,4.207282137525463
Basic,E,T,LR-IW,10000,0.09644,0.4276779272229703,4.217436175240677,4.207282137525463
Normal,E,T,LR-IW,10000,0.0966,0.4279636497712658,4.217436175240677,4.207282137525463
ACIC,E,X,LR-IW,100,0.35349,1.3704650085726269,4.2176745817972785,4.207677761898244
Percentile,E,X,LR-IW,100,0.08409,0.3673731325846991,4.2176745817972785,4.207677761898244
Basic,E,X,LR-IW,100,0.08308,0.3673731325846991,4.2176745817972785,4.207677761898244
Normal,E,X,LR-IW,100,0.08677,0.3810256333970564,4.2176745817972785,4.207677761898244
ACIC,E,X,LR-IW,1000,0.34943,1.354194782316969,4.2176745817972785,4.207677761898244
Percentile,E,X,LR-IW,1000,0.08545,0.3750939776392235,4.2176745817972785,4.207677761898244
Basic,E,X,LR-IW,1000,0.08487,0.3750939776392235,4.2176745817972785,4.207677761898244
Normal,E,X,LR-IW,1000,0.08592000000000001,0.3763964036614425,4.2176745817972785,4.207677761898244
ACIC,E,X,LR-IW,5000,0.35185,1.3590790963708237,4.2176745817972785,4.207677761898244
Percentile,E,X,LR-IW,5000,0.0865,0.3773307203039775,4.2176745817972785,4.207677761898244
Basic,E,X,LR-IW,5000,0.0857,0.3773307203039775,4.2176745817972785,4.207677761898244
Normal,E,X,LR-IW,5000,0.08649,0.3775488780698525,4.2176745817972785,4.207677761898244
ACIC,E,X,LR-IW,10000,0.35191,1.3585827560983574,4.2176745817972785,4.207677761898244
Percentile,E,X,LR-IW,10000,0.08657000000000001,0.37729091381392377,4.2176745817972785,4.207677761898244
Basic,E,X,LR-IW,10000,0.08569,0.37729091381392377,4.2176745817972785,4.207677761898244
Normal,E,X,LR-IW,10000,0.08651,0.3773801912837951,4.2176745817972785,4.207677761898244
ACIC,F,S,LR-IW,100,0.09436,0.5382336881671996,11.393779507820303,11.347267313359936
Percentile,F,S,LR-IW,100,0.023280000000000002,0.12946333307521846,11.393779507820303,11.347267313359936
Basic,F,S,LR-IW,100,0.02326,0.12946333307521846,11.393779507820303,11.347267313359936
Normal,F,S,LR-IW,100,0.02238,0.1251115770055513,11.393779507820303,11.347267313359936
ACIC,F,S,LR-IW,1000,0.09638,0.5516411350277625,11.393779507820303,11.347267313359936
Percentile,F,S,LR-IW,1000,0.02349,0.13110802819066894,11.393779507820303,11.347267313359936
Basic,F,S,LR-IW,1000,0.02348,0.13110802819066894,11.393779507820303,11.347267313359936
Normal,F,S,LR-IW,1000,0.02301,0.12822898889110235,11.393779507820303,11.347267313359936
ACIC,F,S,LR-IW,5000,0.09675,0.5535239317303183,11.393779507820303,11.347267313359936
Percentile,F,S,LR-IW,5000,0.0232,0.1291715486687509,11.393779507820303,11.347267313359936
Basic,F,S,LR-IW,5000,0.023219999999999998,0.1291715486687509,11.393779507820303,11.347267313359936
Normal,F,S,LR-IW,5000,0.02313,0.12867621446667954,11.393779507820303,11.347267313359936
ACIC,F,S,LR-IW,10000,0.09762,0.5585402325387073,11.393779507820303,11.347267313359936
Percentile,F,S,LR-IW,10000,0.02309,0.1284548475533284,11.393779507820303,11.347267313359936
Basic,F,S,LR-IW,10000,0.02308,0.1284548475533284,11.393779507820303,11.347267313359936
Normal,F,S,LR-IW,10000,0.02335,0.12984290588931555,11.393779507820303,11.347267313359936
ACIC,F,T,LR-IW,100,0.30825,2.1782478712500266,10.046538538874751,10.046150553252767
Percentile,F,T,LR-IW,100,0.07136,0.493855451269317,10.046538538874751,10.046150553252767
Basic,F,T,LR-IW,100,0.07101,0.493855451269317,10.046538538874751,10.046150553252767
Normal,F,T,LR-IW,100,0.07366,0.5124506997456717,10.046538538874751,10.046150553252767
ACIC,F,T,LR-IW,1000,0.30368,2.1408989484806846,10.046538538874751,10.046150553252767
Percentile,F,T,LR-IW,1000,0.07176,0.5012245439799392,10.046538538874751,10.046150553252767
Basic,F,T,LR-IW,1000,0.07181,0.5012245439799393,10.046538538874751,10.046150553252767
Normal,F,T,LR-IW,1000,0.07229,0.5038030893285513,10.046538538874751,10.046150553252767
ACIC,F,T,LR-IW,5000,0.3061,2.1578609223775533,10.046538538874751,10.046150553252767
Percentile,F,T,LR-IW,5000,0.07286000000000001,0.507325262120378,10.046538538874751,10.046150553252767
Basic,F,T,LR-IW,5000,0.07266,0.507325262120378,10.046538538874751,10.046150553252767
Normal,F,T,LR-IW,5000,0.0729,0.5079201394827159,10.046538538874751,10.046150553252767
ACIC,F,T,LR-IW,10000,0.3064,2.1585256792936924,10.046538538874751,10.046150553252767
Percentile,F,T,LR-IW,10000,0.07281,0.5078074943280773,10.046538538874751,10.046150553252767
Basic,F,T,LR-IW,10000,0.07277,0.5078074943280773,10.046538538874751,10.046150553252767
Normal,F,T,LR-IW,10000,0.07289,0.5081494549108264,10.046538538874751,10.046150553252767
ACIC,F,X,LR-IW,100,0.27609,1.9309360157320028,10.043474233214509,10.028300203014725
Percentile,F,X,LR-IW,100,0.063,0.43739893604900654,10.043474233214509,10.028300203014725
Basic,F,X,LR-IW,100,0.06322,0.43739893604900654,10.043474233214509,10.028300203014725
Normal,F,X,LR-IW,100,0.06542,0.4539216554554189,10.043474233214509,10.028300203014725
ACIC,F,X,LR-IW,1000,0.27164,1.9017680359108824,10.043474233214509,10.028300203014725
Percentile,F,X,LR-IW,1000,0.06382,0.4452999749744189,10.043474233214509,10.028300203014725
Basic,F,X,LR-IW,1000,0.06421,0.4452999749744189,10.043474233214509,10.028300203014725
Normal,F,X,LR-IW,1000,0.06427999999999999,0.4471608668238485,10.043474233214509,10.028300203014725
ACIC,F,X,LR-IW,5000,0.27286,1.909828236736041,10.043474233214509,10.028300203014725
Percentile,F,X,LR-IW,5000,0.0645,0.44889571387389504,10.043474233214509,10.028300203014725
Basic,F,X,LR-IW,5000,0.06494,0.44889571387389504,10.043474233214509,10.028300203014725
Normal,F,X,LR-IW,5000,0.06451,0.4491850146951118,10.043474233214509,10.028300203014725
ACIC,F,X,LR-IW,10000,0.27294,1.9118416688843711,10.043474233214509,10.028300203014725
Percentile,F,X,LR-IW,10000,0.06452000000000001,0.4496108781368831,10.043474233214509,10.028300203014725
Basic,F,X,LR-IW,10000,0.06491,0.4496108781368831,10.043474233214509,10.028300203014725
Normal,F,X,LR-IW,10000,0.06458,0.4497214289531005,10.043474233214509,10.028300203014725
ACIC,E,S,RF,100,0.8999799999999999,1.4393599670613204,0.014984814452336856,0.02136117087318073
Percentile,E,S,RF,100,0.9434600000000001,0.3983791257389221,0.014984814452336856,0.02136117087318073
Basic,E,S,RF,100,0.79599,0.3983791257389221,0.014984814452336856,0.02136117087318073
Normal,E,S,RF,100,0.9548200000000001,0.4129089582427773,0.014984814452336856,0.02136117087318073
ACIC,E,S,RF,1000,0.8999799999999999,1.422637721916225,0.014984814452336856,0.02136117087318073
Percentile,E,S,RF,1000,0.9582700000000001,0.4073887143927277,0.014984814452336856,0.02136117087318073
Basic,E,S,RF,1000,0.80537,0.4073887143927277,0.014984814452336856,0.02136117087318073
Normal,E,S,RF,1000,0.95785,0.4089577143799501,0.014984814452336856,0.02136117087318073
ACIC,E,S,RF,5000,0.8999799999999999,1.416803634185453,0.014984814452336856,0.02136117087318073
Percentile,E,S,RF,5000,0.95793,0.4071338977728133,0.014984814452336856,0.02136117087318073
Basic,E,S,RF,5000,0.8044600000000001,0.4071338977728133,0.014984814452336856,0.02136117087318073
Normal,E,S,RF,5000,0.9566,0.4073001442683968,0.014984814452336856,0.02136117087318073
ACIC,E,S,RF,10000,0.8999799999999999,1.4155294367599047,0.014984814452336856,0.02136117087318073
Percentile,E,S,RF,10000,0.95806,0.4068699170921128,0.014984814452336856,0.02136117087318073
Basic,E,S,RF,10000,0.80376,0.4068699170921128,0.014984814452336856,0.02136117087318073
Normal,E,S,RF,10000,0.95655,0.4068667327045653,0.014984814452336856,0.02136117087318073
ACIC,E,T,RF,100,0.8999799999999999,1.4387616221560506,0.015387089286414857,0.020371025930163298
Percentile,E,T,RF,100,0.94606,0.3979584900832696,0.015387089286414857,0.020371025930163298
Basic,E,T,RF,100,0.80066,0.3979584900832696,0.015387089286414857,0.020371025930163298
Normal,E,T,RF,100,0.95667,0.41263071992926464,0.015387089286414857,0.020371025930163298
ACIC,E,T,RF,1000,0.8999799999999999,1.4236662771951556,0.015387089286414857,0.020371025930163298
Percentile,E,T,RF,1000,0.9585,0.4076837752055341,0.015387089286414857,0.020371025930163298
Basic,E,T,RF,1000,0.81177,0.4076837752055341,0.015387089286414857,0.020371025930163298
Normal,E,T,RF,1000,0.95865,0.4093868498183935,0.015387089286414857,0.020371025930163298
ACIC,E,T,RF,5000,0.8999799999999999,1.4172071513874311,0.015387089286414857,0.020371025930163298
Percentile,E,T,RF,5000,0.9581200000000001,0.4072129088835754,0.015387089286414857,0.020371025930163298
Basic,E,T,RF,5000,0.81171,0.4072129088835754,0.015387089286414857,0.020371025930163298
Normal,E,T,RF,5000,0.9567399999999999,0.4074530516766968,0.015387089286414857,0.020371025930163298
ACIC,E,T,RF,10000,0.8999799999999999,1.4163649004450012,0.015387089286414857,0.020371025930163298
Percentile,E,T,RF,10000,0.9582799999999999,0.4071014062436885,0.015387089286414857,0.020371025930163298
Basic,E,T,RF,10000,0.81135,0.4071014062436885,0.015387089286414857,0.020371025930163298
Normal,E,T,RF,10000,0.95668,0.4071351372917537,0.015387089286414857,0.020371025930163298
